"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-11-30","48","H,,S","53",",,W","45",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-01","54","H,,S","62",",,W","42",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-02","41","H,,S","47",",,W","36",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-03","45","H,,S","48",",,W","42",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-04","42","H,,S","47",",,W","36",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-05","40","H,,S","50",",,W","35",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-06","48","H,,S","52",",,W","41",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-07","41","H,,S","44",",,W","31",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-08","31","H,,S","37",",,W","26",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-09","40","H,,S","48",",,W","37",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-10","40","H,,S","42",",,W","34",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-11","35","H,,S","40",",,W","32",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-12","36","H,,S","41",",,W","33",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-13","38","H,,S","47",",,W","34",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-14","41","H,,S","47",",,W","37",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-15","41","H,,S","48",",,W","34",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-16","41","H,,S","50",",,W","33",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-17","49","H,,S","55",",,W","43",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-18","42","H,,S","44",",,W","38",",,W"
